"country","admin1","id","type","alt_names"
"Afghanistan","Badakhshan","AFG.1_1","Velayat","Badahšan"
"Afghanistan","Badghis","AFG.2_1","Velayat","Badghes|Badghisat|Badgis"
"Afghanistan","Baghlan","AFG.3_1","Velayat","Baglan|Bughlan"
"Afghanistan","Balkh","AFG.4_1","Velayat","Balh|Mazar-i-Sharif|Mazar"
"Afghanistan","Bamyan","AFG.5_1","Velayat",NA
"Afghanistan","Daykundi","AFG.6_1","Velayat",NA
"Afghanistan","Farah","AFG.7_1","Velayat",NA
"Afghanistan","Faryab","AFG.8_1","Velayat","Fariab|Maimana|Meymaneh"
"Afghanistan","Ghazni","AFG.9_1","Velayat","Gazni"
"Afghanistan","Ghor","AFG.10_1","Velayat","Gawr|Ghore|Ghour|Ghur"
"Afghanistan","Hilmand","AFG.11_1","Velayat","Girishk|Hilmend"
"Afghanistan","Hirat","AFG.12_1","Velayat",NA
"Afghanistan","Jawzjan","AFG.13_1","Velayat","Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan"
"Afghanistan","Kabul","AFG.14_1","Velayat","Cabul|Kabol|Kaboul"
"Afghanistan","Kandahar","AFG.15_1","Velayat","Qandahar"
"Afghanistan","Kapisa","AFG.16_1","Velayat","Kapesa"
"Afghanistan","Khost","AFG.17_1","Velayat",NA
"Afghanistan","Kunar","AFG.18_1","Velayat","Konarha|Kunarha"
"Afghanistan","Kunduz","AFG.19_1","Velayat","Kondoz|Qonduz|Qunduz"
"Afghanistan","Laghman","AFG.20_1","Velayat","Lagman"
"Afghanistan","Logar","AFG.21_1","Velayat","Lawghar|Loghar"
"Afghanistan","Nangarhar","AFG.22_1","Velayat","Ningrahar|Eastern Province"
"Afghanistan","Nimroz","AFG.23_1","Velayat","Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur"
"Afghanistan","Nuristan","AFG.24_1","Velayat","Nooristan|Nuristão"
"Afghanistan","Paktika","AFG.25_1","Velayat","Paktiya|Paktya|Southern Province"
"Afghanistan","Paktya","AFG.26_1","Velayat","Paktiya|Southern Province"
"Afghanistan","Panjshir","AFG.27_1","Velayat",NA
"Afghanistan","Parwan","AFG.28_1","Velayat","Charikar"
"Afghanistan","Samangan","AFG.29_1","Velayat",NA
"Afghanistan","Sari Pul","AFG.30_1","Velayat","Sar-e Pul|Saripol"
"Afghanistan","Takhar","AFG.31_1","Velayat","Takar"
"Afghanistan","Uruzgan","AFG.32_1","Velayat","Urozgan"
"Afghanistan","Wardak","AFG.33_1","Velayat","Verdak|Wardag|Maiden"
"Afghanistan","Zabul","AFG.34_1","Velayat","Zubul|Zaboul"
"Djibouti","Ali Sabieh","DJI.1_1","Region","`Ali Sabîh"
"Djibouti","Dikhil","DJI.2_1","Region","Dikkil"
"Djibouti","Djibouti","DJI.3_1","City",NA
"Djibouti","Obock","DJI.4_1","Region",NA
"Djibouti","Tadjourah","DJI.5_1","Region","Tadjoura"
"Ethiopia","Addis Abeba","ETH.1_1","Astedader","Addis Ababa|Addis Ababa|Adis-Abeba|Adis Abeba"
"Ethiopia","Afar","ETH.2_1","Kilil"," "
"Ethiopia","Amhara","ETH.3_1","Kilil","Amara"
"Ethiopia","Benshangul-Gumaz","ETH.4_1","Kilil","Beneshangul Gumu"
"Ethiopia","Dire Dawa","ETH.5_1","Astedader"," "
