ISO,cell,elevation,population_density,EVI,cattle,goat,sheep,irrigation,LC_210,LC_160,LC_170,LC_130,LC_200,LC_150,LC_190,LC_120,LC_153,LC_202,LC_100,LC_152,LC_30,LC_40,LC_201,LC_60,LC_20,LC_180,LC_110,LC_10,LC_62,LC_61,LC_70,LC_11,LC_122,LC_50,LC_90,annual_mean_temperature,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality_cv,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,max_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,worldclim_9,nrow,ncol,lon,lat
SOM,98,-167,1978.857172,1978.857172,89.9575085,89.9575085,89.9575085,,0.011235955,0.001123596,0.008988764,0.602247191,0.096629213,0.208988764,0.048314607,0.008988764,0,0,0,0.013483146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.95362311,29.34583334,24.56032591,19.14130435,9.293478261,0,101.5077462,13.44565217,0,0.684782609,4.152173913,9.127898548,58.57383206,201.6633876,34.8706527,19.2880434,15.5826093,24.85923908,29.27445685,136,104,50.73208318,11.94125015
SOM,201,107,2211.323317,2211.323317,56.45181367,56.45181367,56.45181367,0.059505649,0,0,0,0.81095679,0.010030864,0.058641975,0.00617284,0.053240741,0,0,0,0.06095679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.17508674,29.72384269,24.61250014,19.57638889,9.375,0,100.5642006,13.47916667,0.020833333,0.736111111,4.104166667,9.653530055,58.61438939,217.3570385,35.56319454,19.09444457,16.46874997,25.00960649,29.70196754,136,104,50.63208318,11.84125015
SOM,202,107,1822.216541,1822.216541,37.47389085,37.47389085,37.47389085,0,0,0,0,0.218364198,0,0.125771605,0.010030864,0.485339506,0,0,0,0.160493827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.86822914,29.33958332,24.38414348,23.78472222,11.5,0,108.9835752,16.97222222,0,1,5.472222222,9.666898164,59.59081372,208.987128,35.14027765,18.91805538,16.22222228,24.67812485,29.2324073,136,104,50.73208318,11.84125015
SOM,203,206,1753.065332,1753.065332,47.24302779,47.24302779,47.24302779,0,0,0,0,0.155864198,0.00154321,0.092592593,0.016203704,0.494598765,0.00154321,0,0,0.237654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79016202,29.17164351,24.41180563,27.23611111,12.9375,0,111.1924352,19.70833333,0.118055556,0.965277778,6.916666667,9.553124958,60.24625299,199.3042605,34.90277786,19.04583348,15.85694438,24.58587962,29.02777769,136,104,50.83208318,11.84125015
SOM,204,-6,1081.641773,1081.641773,133.4099524,133.4099524,133.4099524,0,0,0,0,0.099537037,0.002314815,0.010802469,0,0.75462963,0.00308642,0,0.00462963,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98029517,28.26597227,23.69988418,38.07638889,17.16666667,0.027777778,114.7596805,26.75694444,0.791666667,0.854166667,10.45833333,9.178414338,60.40215712,189.7092304,33.73194446,18.53819451,15.19374994,23.87685188,28.25092598,136,104,50.93208318,11.84125015
SOM,205,-6,1913.899021,1913.899021,278.9150453,278.9150453,278.9150453,0,0.001644737,0,0,0.121710526,0.015625,0.004111842,0.007401316,0.750822368,0,0,0.004934211,0.092105263,0,0,0.001644737,0,0,0,0,0,0,0,0,0,0,0,0,25.52618161,27.72898018,23.32338308,46,20.42537313,0.104477612,118.5250538,32.47014925,0.917910448,0.917910448,13.06716418,8.882960263,60.70297719,182.0631042,33.0268656,18.39552235,14.63134326,23.51019899,27.72898018,136,104,51.03208318,11.84125015
SOM,304,158,2881.096941,2881.096941,85.26132022,85.26132022,85.26132022,0,0.000959693,0,0,0.479846449,0.023992322,0.040307102,0.045105566,0.299424184,0.002879079,0.000959693,0.000959693,0.104606526,0,0,0.000959693,0,0,0,0,0,0,0,0,0,0,0,0,27.37496286,30.1038691,24.70119052,20.89285714,9.651785714,0,100.1025397,14.22321429,0.026785714,0.026785714,4.598214286,9.453943491,56.90397508,229.2116619,35.83035697,19.22232161,16.60803536,25.06696432,30.10089292,136,104,50.53208318,11.74125015
SOM,305,251.5,1444.514457,1444.514457,82.6456576,82.6456576,82.6456576,0,0,0,0,0.226851852,0,0.079475309,0,0.422067901,0,0,0,0.271604938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.09609373,29.70081022,24.46967602,23.79861111,11.21527778,0,106.2758571,16.375,0.0625,0.576388889,5.208333333,9.567881968,57.97161526,222.2707008,35.5277778,19.0270836,16.50069421,24.95104159,29.68530092,136,104,50.63208318,11.74125015
SOM,306,205.75,1342.972683,1342.972683,57.28023653,57.28023653,57.28023653,0,0,0,0,0.084876543,0,0.111111111,0.002314815,0.483024691,0,0,0,0.31867284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.70827538,29.20219902,24.18888884,30.38888889,13.26388889,0,104.3851867,20.18055556,0.819444444,1.020833333,7.423611111,9.689120458,59.51563218,211.521408,35.01458332,18.73680561,16.27777771,24.3443286,29.18599538,136,104,50.73208318,11.74125015
SOM,307,305,1334.923338,1334.923338,74.35628267,74.35628267,74.35628267,0,0,0,0,0.094135802,0,0.050154321,0.006944444,0.519290123,0,0,0.00154321,0.327932099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.71328126,29.11828699,24.30011568,33.00694444,14.79166667,0,108.9177335,22.40972222,0.902777778,1,8.465277778,9.807349629,60.78825582,201.9571495,34.965972,18.83263836,16.13333364,24.45127299,29.10034725,136,104,50.83208318,11.74125015
