"daymonth_id","mean_2m_air_temperature","day","time_series_id","mean_2m_air_temperature_celsius"
"01-01",288.801239,1986-01-01,24,15.651239
"01-02",288.780426,1986-01-02,24,15.630426
"01-03",288.5267334,1986-01-03,24,15.3767334
"01-04",288.9347992,1986-01-04,24,15.7847992000001
"01-05",288.9162445,1986-01-05,24,15.7662445
"01-06",289.92781065,1986-01-06,24,16.77781065
"01-07",290.9932251,1986-01-07,24,17.8432251
"01-08",291.52888485,1986-01-08,24,18.37888485
"01-09",292.5774536,1986-01-09,24,19.4274536
"01-10",292.7464752,1986-01-10,24,19.5964752
"01-11",294.06991575,1986-01-11,24,20.91991575
"01-12",293.0014801,1986-01-12,24,19.8514801
"01-13",292.7727966,1986-01-13,24,19.6227966
"01-14",292.50508115,1986-01-14,24,19.35508115
"01-15",291.47532655,1986-01-15,24,18.32532655
"01-16",290.70036315,1986-01-16,24,17.5503631500001
"01-17",290.7886963,1986-01-17,24,17.6386963
"01-18",291.4225464,1986-01-18,24,18.2725464
"01-19",291.6122131,1986-01-19,24,18.4622131
"01-20",290.74531555,1986-01-20,24,17.59531555
"01-21",290.8245239,1986-01-21,24,17.6745239000001
"01-22",291.61079405,1986-01-22,24,18.46079405
"01-23",291.92230225,1986-01-23,24,18.7723022500001
"01-24",291.7494354,1986-01-24,24,18.5994354
"01-25",291.432251,1986-01-25,24,18.282251
"01-26",291.3677673,1986-01-26,24,18.2177673
"01-27",292.4194183,1986-01-27,24,19.2694183
"01-28",293.00698855,1986-01-28,24,19.85698855
"01-29",293.9074402,1986-01-29,24,20.7574402
"01-30",294.5081329,1986-01-30,24,21.3581329
"01-31",295.043808,1986-01-31,24,21.893808
"02-01",294.94750975,1986-02-01,24,21.79750975
"02-02",294.969635,1986-02-02,24,21.8196350000001
"02-03",293.26260375,1986-02-03,24,20.11260375
"02-04",293.39103695,1986-02-04,24,20.24103695
"02-05",293.56204225,1986-02-05,24,20.41204225
"02-06",293.50508115,1986-02-06,24,20.35508115
"02-07",294.02874755,1986-02-07,24,20.87874755
"02-08",294.7382965,1986-02-08,24,21.5882965000001
"02-09",295.18382265,1986-02-09,24,22.03382265
"02-10",294.74203495,1986-02-10,24,21.59203495
"02-11",294.7268677,1986-02-11,24,21.5768677
"02-12",294.84832765,1986-02-12,24,21.69832765
"02-13",295.64375305,1986-02-13,24,22.49375305
"02-14",296.1134796,1986-02-14,24,22.9634796
"02-15",295.44143675,1986-02-15,24,22.29143675
"02-16",295.285553,1986-02-16,24,22.135553
"02-17",295.0986633,1986-02-17,24,21.9486633
"02-18",294.63851925,1986-02-18,24,21.48851925
"02-19",294.8530884,1986-02-19,24,21.7030884
"02-20",295.08680725,1986-02-20,24,21.93680725
"02-21",296.11343385,1986-02-21,24,22.96343385
"02-22",297.63360595,1986-02-22,24,24.48360595
"02-23",298.4217224,1986-02-23,24,25.2717224
"02-24",296.67945865,1986-02-24,24,23.52945865
"02-25",297.23065185,1986-02-25,24,24.08065185
"02-26",297.5991211,1986-02-26,24,24.4491211
"02-27",295.7134094,1986-02-27,24,22.5634094000001
"02-28",296.6640625,1986-02-28,24,23.5140625
"03-01",296.3053436,1986-03-01,24,23.1553436
"03-02",295.7177582,1986-03-02,24,22.5677582
"03-03",296.4277191,1986-03-03,24,23.2777191
"03-04",296.0216217,1986-03-04,24,22.8716217
"03-05",297.02162175,1986-03-05,24,23.87162175
"03-06",297.75260925,1986-03-06,24,24.60260925
"03-07",298.62387085,1986-03-07,24,25.47387085
"03-08",299.42059325,1986-03-08,24,26.27059325
"03-09",299.8410492,1986-03-09,24,26.6910492
"03-10",299.60427855,1986-03-10,24,26.45427855
"03-11",300.14608765,1986-03-11,24,26.99608765
"03-12",299.2068481,1986-03-12,24,26.0568481
"03-13",299.6727295,1986-03-13,24,26.5227295
"03-14",299.78327945,1986-03-14,24,26.63327945
"03-15",300.7602539,1986-03-15,24,27.6102539
"03-16",300.30874635,1986-03-16,24,27.15874635
"03-17",300.1092682,1986-03-17,24,26.9592682
"03-18",300.99957275,1986-03-18,24,27.84957275
"03-19",301.17112735,1986-03-19,24,28.02112735
"03-20",300.54115295,1986-03-20,24,27.39115295
"03-21",300.44088745,1986-03-21,24,27.29088745
"03-22",301.04144285,1986-03-22,24,27.89144285
"03-23",302.44776915,1986-03-23,24,29.29776915
"03-24",302.3182068,1986-03-24,24,29.1682068
"03-25",301.1368408,1986-03-25,24,27.9868408
"03-26",302.1808319,1986-03-26,24,29.0308319
"03-27",301.9065857,1986-03-27,24,28.7565857000001
"03-28",302.66752625,1986-03-28,24,29.5175262500001
"03-29",302.995224,1986-03-29,24,29.845224
"03-30",303.41970825,1986-03-30,24,30.26970825
"03-31",302.8097229,1986-03-31,24,29.6597229
"04-01",302.80906675,1986-04-01,24,29.65906675
"04-02",303.37010195,1986-04-02,24,30.22010195
"04-03",302.8931427,1986-04-03,24,29.7431427
"04-04",302.7244568,1986-04-04,24,29.5744568
"04-05",301.65852355,1986-04-05,24,28.5085235500001
"04-06",302.1797791,1986-04-06,24,29.0297791
"04-07",302.62280275,1986-04-07,24,29.47280275
"04-08",303.3908081,1986-04-08,24,30.2408081
"04-09",303.7635651,1986-04-09,24,30.6135651
"04-10",304.38716125,1986-04-10,24,31.23716125
"04-11",304.50112915,1986-04-11,24,31.35112915
"04-12",303.42416385,1986-04-12,24,30.27416385
"04-13",303.94836425,1986-04-13,24,30.79836425
"04-14",303.7485657,1986-04-14,24,30.5985657
"04-15",304.38729855,1986-04-15,24,31.23729855
"04-16",304.8678131,1986-04-16,24,31.7178131
"04-17",304.4140625,1986-04-17,24,31.2640625
"04-18",303.8723602,1986-04-18,24,30.7223602
"04-19",302.83110045,1986-04-19,24,29.68110045
"04-20",302.9847107,1986-04-20,24,29.8347107000001
"04-21",302.5146027,1986-04-21,24,29.3646027
"04-22",302.7907562,1986-04-22,24,29.6407562000001
"04-23",302.2311554,1986-04-23,24,29.0811554000001
"04-24",302.4176636,1986-04-24,24,29.2676636
"04-25",301.5710754,1986-04-25,24,28.4210754
"04-26",300.6284332,1986-04-26,24,27.4784332
"04-27",299.30839535,1986-04-27,24,26.15839535
"04-28",299.0076599,1986-04-28,24,25.8576599
"04-29",300.4550476,1986-04-29,24,27.3050476
"04-30",299.51803585,1986-04-30,24,26.36803585
"05-01",302.03604125,1986-05-01,24,28.8860412500001
"05-02",302.79980465,1986-05-02,24,29.64980465
"05-03",300.9942932,1986-05-03,24,27.8442932
"05-04",300.0102997,1986-05-04,24,26.8602997
"05-05",300.42147825,1986-05-05,24,27.27147825
"05-06",300.5586243,1986-05-06,24,27.4086243
"05-07",299.8800201,1986-05-07,24,26.7300201
"05-08",301.3080139,1986-05-08,24,28.1580139
"05-09",302.3219757,1986-05-09,24,29.1719757
"05-10",302.3481445,1986-05-10,24,29.1981445
"05-11",302.70030215,1986-05-11,24,29.55030215
"05-12",302.59230045,1986-05-12,24,29.4423004500001
"05-13",302.9360809,1986-05-13,24,29.7860809
"05-14",303.50556945,1986-05-14,24,30.35556945
"05-15",302.90901185,1986-05-15,24,29.75901185
"05-16",303.2978363,1986-05-16,24,30.1478363
"05-17",303.702713,1986-05-17,24,30.552713
"05-18",304.0441437,1986-05-18,24,30.8941437
"05-19",303.17147825,1986-05-19,24,30.02147825
"05-20",304.12661745,1986-05-20,24,30.97661745
"05-21",304.215271,1986-05-21,24,31.0652710000001
"05-22",304.7651825,1986-05-22,24,31.6151825000001
"05-23",304.54719545,1986-05-23,24,31.39719545
"05-24",305.0063629,1986-05-24,24,31.8563629
"05-25",304.84072875,1986-05-25,24,31.69072875
"05-26",305.01553345,1986-05-26,24,31.86553345
"05-27",304.3430176,1986-05-27,24,31.1930176000001
"05-28",304.118454,1986-05-28,24,30.9684540000001
"05-29",304.59635925,1986-05-29,24,31.44635925
"05-30",304.35681155,1986-05-30,24,31.20681155
"05-31",304.35986325,1986-05-31,24,31.20986325
"06-01",304.91293335,1986-06-01,24,31.76293335
"06-02",303.1418457,1986-06-02,24,29.9918457
"06-03",304.14816285,1986-06-03,24,30.99816285
"06-04",304.18478395,1986-06-04,24,31.03478395
"06-05",305.2810974,1986-06-05,24,32.1310974
"06-06",305.46861265,1986-06-06,24,32.31861265
"06-07",305.26499935,1986-06-07,24,32.11499935
"06-08",303.95521545,1986-06-08,24,30.80521545
"06-09",304.0578003,1986-06-09,24,30.9078003
"06-10",304.4781189,1986-06-10,24,31.3281189
"06-11",304.7197418,1986-06-11,24,31.5697418
"06-12",305.26437375,1986-06-12,24,32.11437375
"06-13",304.95022585,1986-06-13,24,31.8002258500001
"06-14",304.7678528,1986-06-14,24,31.6178528
"06-15",304.6676178,1986-06-15,24,31.5176178
"06-16",303.22810365,1986-06-16,24,30.07810365
"06-17",303.38020325,1986-06-17,24,30.23020325
"06-18",303.4797974,1986-06-18,24,30.3297974
"06-19",303.04930115,1986-06-19,24,29.89930115
"06-20",302.97047425,1986-06-20,24,29.82047425
