"daymonth_id","rainfall","day","time_series_id"
"01-01",11.0743978,1981-01-01,2
"01-02",0,1981-01-02,2
"01-03",0,1981-01-03,2
"01-04",0,1981-01-04,2
"01-05",0,1981-01-05,2
"01-06",0,1981-01-06,2
"01-07",0,1981-01-07,2
"01-08",0,1981-01-08,2
"01-09",0,1981-01-09,2
"01-10",0,1981-01-10,2
"01-11",0,1981-01-11,2
"01-12",0,1981-01-12,2
"01-13",0,1981-01-13,2
"01-14",0,1981-01-14,2
"01-15",0.2931867,1981-01-15,2
"01-16",0,1981-01-16,2
"01-17",0,1981-01-17,2
"01-18",1.9197507,1981-01-18,2
"01-19",0,1981-01-19,2
"01-20",0,1981-01-20,2
"01-21",0,1981-01-21,2
"01-22",0,1981-01-22,2
"01-23",0,1981-01-23,2
"01-24",0,1981-01-24,2
"01-25",1.2438966,1981-01-25,2
"01-26",1.306278,1981-01-26,2
"01-27",0,1981-01-27,2
"01-28",0,1981-01-28,2
"01-29",0,1981-01-29,2
"01-30",0,1981-01-30,2
"01-31",0,1981-01-31,2
"02-01",0,1981-02-01,2
"02-02",0,1981-02-02,2
"02-03",0,1981-02-03,2
"02-04",0,1981-02-04,2
"02-05",0.0079139,1981-02-05,2
"02-06",0.712829,1981-02-06,2
"02-07",0,1981-02-07,2
"02-08",0,1981-02-08,2
"02-09",0.0217601,1981-02-09,2
"02-10",0.0203711,1981-02-10,2
"02-11",0,1981-02-11,2
"02-12",0,1981-02-12,2
"02-13",0.0153749,1981-02-13,2
"02-14",0,1981-02-14,2
"02-15",0.0052925,1981-02-15,2
"02-16",0,1981-02-16,2
"02-17",0,1981-02-17,2
"02-18",0,1981-02-18,2
"02-19",0,1981-02-19,2
"02-20",0,1981-02-20,2
"02-21",0,1981-02-21,2
"02-22",0,1981-02-22,2
"02-23",0,1981-02-23,2
"02-24",0,1981-02-24,2
"02-25",0,1981-02-25,2
"02-26",0,1981-02-26,2
"02-27",0,1981-02-27,2
"02-28",0,1981-02-28,2
"03-01",0,1981-03-01,2
"03-02",0,1981-03-02,2
"03-03",0,1981-03-03,2
"03-04",0,1981-03-04,2
"03-05",0,1981-03-05,2
"03-06",0,1981-03-06,2
"03-07",0,1981-03-07,2
"03-08",0,1981-03-08,2
"03-09",0,1981-03-09,2
"03-10",0,1981-03-10,2
"03-11",0,1981-03-11,2
"03-12",0,1981-03-12,2
"03-13",0,1981-03-13,2
"03-14",0,1981-03-14,2
"03-15",0,1981-03-15,2
"03-16",0,1981-03-16,2
"03-17",0,1981-03-17,2
"03-18",0.0382952,1981-03-18,2
"03-19",0,1981-03-19,2
"03-20",0,1981-03-20,2
"03-21",0,1981-03-21,2
"03-22",0,1981-03-22,2
"03-23",9.7274229,1981-03-23,2
"03-24",0.4141749,1981-03-24,2
"03-25",2.6928421,1981-03-25,2
"03-26",0,1981-03-26,2
"03-27",0,1981-03-27,2
"03-28",0,1981-03-28,2
"03-29",0,1981-03-29,2
"03-30",0,1981-03-30,2
"03-31",0,1981-03-31,2
"04-01",0.5051019,1981-04-01,2
"04-02",0,1981-04-02,2
