Afghanistan,Djibouti,Ethiopia,India,Iran,Myanmar,Pakistan,Saudi Arabia
Badakhshan,Ali Sabieh,Addis Abeba,Andaman and Nicobar,Alborz,Ayeyarwady,Azad Kashmir,`Asir
Badghis,Dikhil,Afar,Andhra Pradesh,Ardebil,Bago,Baluchistan,Al Bahah
Baghlan,Djibouti,Amhara,Arunachal Pradesh,Bushehr,Chin,F.A.T.A.,Al Hudud ash Shamaliyah
Balkh,Obock,Benshangul-Gumaz,Assam,Chahar Mahall and Bakhtiari,Kachin,F.C.T.,Al Jawf
Bamyan,Tadjourah,Dire Dawa,Bihar,East Azarbaijan,Kayah,N.W.F.P.,Al Madinah
Daykundi,,Gambela Peoples,Chandigarh,Esfahan,Kayin,Northern Areas,Al Quassim
Farah,,Harari People,Chhattisgarh,Fars,Magway,Punjab,Ar Riyad
Faryab,,Oromia,Dadra and Nagar Haveli,Gilan,Mandalay,Sind,Ash Sharqiyah
Ghazni,,Somali,Daman and Diu,Golestan,Mon,,Ha'il
Ghor,,"Southern Nations, Nationalities and Peoples",Goa,Hamadan,Naypyitaw,,Jizan
Hilmand,,Tigray,Gujarat,Hormozgan,Rakhine,,Makkah
Hirat,,,Haryana,Ilam,Sagaing,,Najran
Jawzjan,,,Himachal Pradesh,Kerman,Shan,,Tabuk
Kabul,,,Jammu and Kashmir,Kermanshah,Tanintharyi,,
Kandahar,,,Jharkhand,Khuzestan,Yangon,,
Kapisa,,,Karnataka,Kohgiluyeh and Buyer Ahmad,,,
Khost,,,Kerala,Kordestan,,,
Kunar,,,Lakshadweep,Lorestan,,,
Kunduz,,,Madhya Pradesh,Markazi,,,
Laghman,,,Maharashtra,Mazandaran,,,
Logar,,,Manipur,North Khorasan,,,
Nangarhar,,,Meghalaya,Qazvin,,,
Nimroz,,,Mizoram,Qom,,,
Nuristan,,,Nagaland,Razavi Khorasan,,,
Paktika,,,NCT of Delhi,Semnan,,,
Paktya,,,Odisha,Sistan and Baluchestan,,,
Panjshir,,,Puducherry,South Khorasan,,,
Parwan,,,Punjab,Tehran,,,
Samangan,,,Rajasthan,West Azarbaijan,,,
Sari Pul,,,Sikkim,Yazd,,,
Takhar,,,Tamil Nadu,Zanjan,,,
Uruzgan,,,Telangana,,,,
Wardak,,,Tripura,,,,
Zabul,,,Uttar Pradesh,,,,
,,,Uttarakhand,,,,
,,,West Bengal,,,,
