"daymonth_id","rainfall","day","time_series_id"
"01-01",0.214860466666667,1984-01-01,28
"01-02",0,1984-01-02,28
"01-03",0,1984-01-03,28
"01-04",0.0178827333333333,1984-01-04,28
"01-05",2.18632183333333,1984-01-05,28
"01-06",0.1385867,1984-01-06,28
"01-07",0,1984-01-07,28
"01-08",0,1984-01-08,28
"01-09",0,1984-01-09,28
"01-10",0,1984-01-10,28
"01-11",0,1984-01-11,28
"01-12",0.7006669,1984-01-12,28
"01-13",0,1984-01-13,28
"01-14",0,1984-01-14,28
"01-15",0,1984-01-15,28
"01-16",1.64948036666667,1984-01-16,28
"01-17",0,1984-01-17,28
"01-18",0.519930433333333,1984-01-18,28
"01-19",0.343943366666667,1984-01-19,28
"01-20",2.43203286666667,1984-01-20,28
"01-21",1.66586356666667,1984-01-21,28
"01-22",0,1984-01-22,28
"01-23",0,1984-01-23,28
"01-24",0,1984-01-24,28
"01-25",0,1984-01-25,28
"01-26",0.4833647,1984-01-26,28
"01-27",0,1984-01-27,28
"01-28",0.555768033333333,1984-01-28,28
"01-29",3.13017393333333,1984-01-29,28
"01-30",0.014069,1984-01-30,28
"01-31",0,1984-01-31,28
"02-01",0,1984-02-01,28
"02-02",0,1984-02-02,28
"02-03",1.61500916666667,1984-02-03,28
"02-04",0,1984-02-04,28
"02-05",0,1984-02-05,28
"02-06",0,1984-02-06,28
"02-07",0,1984-02-07,28
"02-08",0,1984-02-08,28
"02-09",2.79533466666667,1984-02-09,28
"02-10",3.79345416666667,1984-02-10,28
"02-11",0.00257403333333333,1984-02-11,28
"02-12",0,1984-02-12,28
"02-13",0,1984-02-13,28
"02-14",1.38515866666667,1984-02-14,28
"02-15",0.00942466666666667,1984-02-15,28
"02-16",0,1984-02-16,28
"02-17",1.82453953333333,1984-02-17,28
"02-18",0.463876966666667,1984-02-18,28
"02-19",0.0855328333333333,1984-02-19,28
"02-20",0,1984-02-20,28
"02-21",0.850133666666667,1984-02-21,28
"02-22",0.0002733,1984-02-22,28
"02-23",0,1984-02-23,28
"02-24",1.3969301,1984-02-24,28
"02-25",1.3969301,1984-02-25,28
"02-26",0,1984-02-26,28
"02-27",0,1984-02-27,28
"02-28",0,1984-02-28,28
"02-29",0,1984-02-29,28
"03-01",0,1984-03-01,28
"03-02",0,1984-03-02,28
"03-03",0,1984-03-03,28
"03-04",0,1984-03-04,28
"03-05",0,1984-03-05,28
"03-06",0,1984-03-06,28
"03-07",0,1984-03-07,28
"03-08",0,1984-03-08,28
"03-09",0,1984-03-09,28
"03-10",1.3956672,1984-03-10,28
"03-11",0.601821833333333,1984-03-11,28
"03-12",0,1984-03-12,28
"03-13",0,1984-03-13,28
"03-14",0.1111264,1984-03-14,28
"03-15",0,1984-03-15,28
"03-16",0,1984-03-16,28
"03-17",0.913113433333333,1984-03-17,28
"03-18",1.71031883333333,1984-03-18,28
"03-19",1.89622323333333,1984-03-19,28
"03-20",0,1984-03-20,28
"03-21",0,1984-03-21,28
"03-22",0,1984-03-22,28
"03-23",0,1984-03-23,28
"03-24",0.277422333333333,1984-03-24,28
"03-25",0,1984-03-25,28
"03-26",1.02820396666667,1984-03-26,28
"03-27",0.177430433333333,1984-03-27,28
"03-28",0.548159433333333,1984-03-28,28
"03-29",0,1984-03-29,28
"03-30",0,1984-03-30,28
"03-31",0.0128800333333333,1984-03-31,28
"04-01",2.09062246666667,1984-04-01,28
"04-02",1.1734992,1984-04-02,28
"04-03",0,1984-04-03,28
"04-04",0,1984-04-04,28
"04-05",0.0068748,1984-04-05,28
"04-06",0,1984-04-06,28
"04-07",0,1984-04-07,28
"04-08",0,1984-04-08,28
"04-09",0.359526433333333,1984-04-09,28
"04-10",0,1984-04-10,28
"04-11",0,1984-04-11,28
"04-12",0,1984-04-12,28
"04-13",0,1984-04-13,28
"04-14",0,1984-04-14,28
"04-15",0,1984-04-15,28
"04-16",0,1984-04-16,28
"04-17",0,1984-04-17,28
"04-18",0,1984-04-18,28
"04-19",0,1984-04-19,28
"04-20",0,1984-04-20,28
"04-21",0,1984-04-21,28
"04-22",0.0639849666666667,1984-04-22,28
"04-23",0,1984-04-23,28
"04-24",0.135254366666667,1984-04-24,28
"04-25",0,1984-04-25,28
"04-26",0.871960933333333,1984-04-26,28
"04-27",0,1984-04-27,28
"04-28",0,1984-04-28,28
"04-29",0,1984-04-29,28
"04-30",0.0027034,1984-04-30,28
"05-01",0,1984-05-01,28
"05-02",0,1984-05-02,28
"05-03",0,1984-05-03,28
"05-04",0,1984-05-04,28
"05-05",0.158555666666667,1984-05-05,28
"05-06",0,1984-05-06,28
"05-07",0,1984-05-07,28
"05-08",2.00259903333333,1984-05-08,28
"05-09",0.0816142333333333,1984-05-09,28
"05-10",1.05268656666667,1984-05-10,28
"05-11",0,1984-05-11,28
"05-12",0,1984-05-12,28
"05-13",0,1984-05-13,28
"05-14",0,1984-05-14,28
"05-15",0,1984-05-15,28
"05-16",0.573604933333333,1984-05-16,28
"05-17",0,1984-05-17,28
"05-18",0,1984-05-18,28
"05-19",0,1984-05-19,28
"05-20",0.0678747666666667,1984-05-20,28
"05-21",0,1984-05-21,28
"05-22",0,1984-05-22,28
"05-23",0,1984-05-23,28
"05-24",0,1984-05-24,28
"05-25",0,1984-05-25,28
"05-26",11.3168527666667,1984-05-26,28
"05-27",0,1984-05-27,28
"05-28",3.1022848,1984-05-28,28
"05-29",0,1984-05-29,28
"05-30",0.292899866666667,1984-05-30,28
"05-31",0.628618433333333,1984-05-31,28
